food_name,unit_name,unit_aliases,grams_per_unit
Fairlife Fat Free Milk,cup,cup|cups,240.0
Chicken Breast Raw,oz,oz|ounce|ounces,28.25
Chicken Breast Raw,piece,piece,272.0
Chicken Breast Raw,package,package,926.0
Chicken Breast Cooked,oz,oz|ounce|ounces,28.33
Chicken Breast Cooked,piece,piece,181.0
Chicken Thigh Raw,oz,oz|ounce|ounces,28.25
Chicken Thigh Raw,thigh without skin,thigh without skin,149.0
Chicken Thigh Cooked,"cup, chopped or diced","cup, chopped or diced",140.0
Chicken Thigh Cooked,unit (yield from 1 lb ready-to-cook chicken),unit (yield from 1 lb ready-to-cook chicken),33.0
Chicken Thigh Cooked,"thigh, bone and skin removed","thigh, bone and skin removed",55.0
Chicken Drumstick Raw,oz,oz|ounce|ounces,28.25
Chicken Drumstick Raw,drumstick  with skin,drumstick  with skin,130.0
Chicken Drumstick Raw,drumstick without skin,drumstick without skin,122.0
Chicken Drumstick Cooked,oz,oz|ounce|ounces,28.33
Chicken Drumstick Cooked,"drumstick, bone and skin removed","drumstick, bone and skin removed",46.0
Chicken Drumstick Cooked,"cup, chopped or diced","cup, chopped or diced",160.0
Chicken Drumstick Cooked,unit (yield from 1 lb ready-to-cook chicken),unit (yield from 1 lb ready-to-cook chicken),28.0
Chicken Wing Raw,"wing, bone and skin removed (yield from 1 lb ready-to-cook chicken)","wing, bone and skin removed (yield from 1 lb ready-to-cook chicken)",17.0
Chicken Wing Raw,"wing, bone and skin removed","wing, bone and skin removed",29.0
Chicken Wing Cooked,oz,oz|ounce|ounces,28.33
Chicken Wing Cooked,"cup, chopped or diced","cup, chopped or diced",140.0
Chicken Wing Cooked,unit (yield from 1 lb ready-to-cook chicken),unit (yield from 1 lb ready-to-cook chicken),14.0
Chicken Wing Cooked,"wing, bone and skin removed","wing, bone and skin removed",24.0
Turkey Breast Raw,oz,oz|ounce|ounces,28.25
Turkey Breast Raw,breast,breast,1769.0
Turkey Breast Cooked,oz,oz|ounce|ounces,28.33
Turkey Breast Cooked,breast,breast,1413.0
Ground Turkey 93/7 Raw,oz,oz|ounce|ounces,28.25
Ground Turkey 93/7 Raw,lb,lb,453.0
Ground Turkey 93/7 Raw,serving (cooked from 4 oz),serving (cooked from 4 oz),85.0
Ground Turkey 93/7 Cooked,oz,oz|ounce|ounces,28.33
Ground Beef 95/5 Raw,oz,oz|ounce|ounces,28.25
Ground Beef 95/5 Cooked,oz,oz|ounce|ounces,28.33
Beef Top Sirloin Raw,oz,oz|ounce|ounces,28.25
Beef Top Sirloin Raw,lb,lb,453.6
Beef Top Sirloin Cooked,oz,oz|ounce|ounces,28.33
Beef Top Sirloin Cooked,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)","piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",292.0
Beef Tenderloin Raw,oz,oz|ounce|ounces,28.25
Beef Tenderloin Raw,lb,lb,453.6
Beef Tenderloin Cooked,oz,oz|ounce|ounces,28.33
Beef Tenderloin Cooked,lb,lb,453.6
Beef Ribeye Raw,oz,oz|ounce|ounces,28.25
Beef Ribeye Raw,steak,steak,256.0
Beef Ribeye Cooked,oz,oz|ounce|ounces,28.33
Beef Ribeye Cooked,steak,steak,209.0
Beef Chuck Raw,oz,oz|ounce|ounces,28.25
Beef Chuck Raw,lb,lb,453.6
Beef Chuck Cooked,oz ( 1 serving  ),oz ( 1 serving  ),28.33
Beef Chuck Cooked,lb,lb,453.6
Beef Round Raw,oz,oz|ounce|ounces,28.25
Beef Round Raw,lb,lb,453.6
Beef Round Cooked,oz,oz|ounce|ounces,28.33
Beef Round Cooked,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)","piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",267.0
Beef Brisket Raw,oz,oz|ounce|ounces,28.25
Beef Brisket Raw,lb,lb,453.6
Beef Brisket Cooked,oz,oz|ounce|ounces,28.33
Beef Brisket Cooked,steak (yield from 418g raw meat),steak (yield from 418g raw meat),270.0
Pork Loin Raw,oz,oz|ounce|ounces,28.25
Pork Loin Raw,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)","chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",106.0
Pork Loin Cooked,oz,oz|ounce|ounces,28.33
Pork Loin Cooked,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)","chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",80.0
Pork Chop Raw,oz,oz|ounce|ounces,28.25
Pork Chop Raw,"chop without refuse (yield from 1 raw chop, with refuse, weighing 259g)","chop without refuse (yield from 1 raw chop, with refuse, weighing 259g)",178.0
Pork Chop Cooked,oz,oz|ounce|ounces,28.33
Pork Chop Cooked,chop,chop,187.0
Pork Tenderloin Raw,oz,oz|ounce|ounces,28.25
Pork Tenderloin Raw,lb,lb,453.6
Pork Tenderloin Raw,roast,roast,505.0
Pork Tenderloin Cooked,oz,oz|ounce|ounces,28.33
Pork Tenderloin Cooked,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)","piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",333.0
Pork Tenderloin Cooked,roast,roast,402.0
Pork Shoulder Raw,oz,oz|ounce|ounces,28.35
Pork Shoulder Raw,lb,lb,453.6
Pork Shoulder Cooked,"cup, diced","cup, diced",135.0
Pork Shoulder Cooked,oz,oz|ounce|ounces,28.33
Salmon Raw,oz,oz|ounce|ounces,28.33
Salmon Raw,fillet,fillet,396.0
Salmon Cooked,oz,oz|ounce|ounces,28.33
Salmon Cooked,fillet,fillet,308.0
Tilapia Raw,fillet,fillet,116.0
Tilapia Cooked,fillet,fillet,87.0
Tuna Raw,"oz, boneless","oz, boneless",28.35
