food_name,aliases,basis_amount,basis_unit,calories,protein_g,carbs_g,fat_g,fiber_g,source,verified
Fairlife Fat Free Milk,fairlife ff|fair life ff|fl ff|fairlife fat free|fat free fairlife,1,cup,80.0,13.0,,,,personal verified food,True
Chicken Breast Cooked,chicken|chicken breast|cooked chicken|grilled chicken|chikn breast,100,g,165.0,31.0,0.0,3.6,0.0,generic verified food,True
Chicken Breast Raw,chicken breast raw|raw chicken breast,100,g,120.0,22.5,0.0,2.62,0.0,USDA SR Legacy FDC 171077,True
Chicken Thigh Raw,chicken thigh raw|raw chicken thigh,100,g,121.0,19.66,0.0,4.12,0.0,USDA SR Legacy FDC 173627,True
Chicken Thigh Cooked,chicken thigh cooked|cooked chicken thigh,100,g,195.0,25.0,0.0,9.79,0.0,USDA SR Legacy FDC 172389,True
Chicken Drumstick Raw,chicken drumstick raw|raw chicken drumstick,100,g,116.0,19.41,0.0,3.71,0.0,USDA SR Legacy FDC 173614,True
Chicken Drumstick Cooked,chicken drumstick cooked|cooked chicken drumstick,100,g,169.0,27.5,0.0,5.71,0.0,USDA SR Legacy FDC 172377,True
Chicken Wing Raw,chicken wing raw|raw chicken wing,100,g,126.0,21.97,0.0,3.54,0.0,USDA SR Legacy FDC 173632,True
Chicken Wing Cooked,chicken wing cooked|cooked chicken wing,100,g,181.0,27.18,0.0,7.18,0.0,USDA SR Legacy FDC 172393,True
Turkey Breast Raw,turkey breast raw|raw turkey breast,100,g,114.0,23.66,0.14,1.48,0.0,USDA SR Legacy FDC 171098,True
Turkey Breast Cooked,turkey breast cooked|cooked turkey breast,100,g,147.0,30.13,0.0,2.08,0.0,USDA SR Legacy FDC 171496,True
Ground Turkey 93/7 Raw,ground turkey 93/7 raw|raw ground turkey 93/7|93/7 ground turkey|ground turkey 93/7,100,g,150.0,18.73,0.0,8.34,0.0,USDA SR Legacy FDC 172850,True
Ground Turkey 93/7 Cooked,ground turkey 93/7 cooked|cooked ground turkey 93/7|93/7 ground turkey|ground turkey 93/7,100,g,207.0,25.86,0.0,11.45,0.0,USDA SR Legacy FDC 174492,True
Ground Beef 95/5 Raw,ground beef 95/5 raw|raw ground beef 95/5|95/5 ground beef|ground beef 95/5,100,g,137.0,21.41,0.0,5.0,0.0,USDA SR Legacy FDC 171790,True
Ground Beef 95/5 Cooked,ground beef 95/5 cooked|cooked ground beef 95/5|95/5 ground beef|ground beef 95/5,100,g,174.0,27.31,0.0,6.37,0.0,USDA SR Legacy FDC 174029,True
Beef Top Sirloin Raw,beef top sirloin raw|raw beef top sirloin,100,g,131.0,22.09,0.0,4.08,0.0,USDA SR Legacy FDC 174055,True
Beef Top Sirloin Cooked,beef top sirloin cooked|cooked beef top sirloin,100,g,183.0,30.55,0.0,5.79,0.0,USDA SR Legacy FDC 168634,True
Beef Tenderloin Raw,beef tenderloin raw|raw beef tenderloin,100,g,153.0,22.12,0.0,6.52,0.0,USDA SR Legacy FDC 171812,True
Beef Tenderloin Cooked,beef tenderloin cooked|cooked beef tenderloin,100,g,200.0,29.04,0.0,8.39,0.0,USDA SR Legacy FDC 171811,True
Beef Ribeye Raw,beef ribeye raw|raw beef ribeye,100,g,180.0,19.7,1.51,10.6,0.0,USDA SR Legacy FDC 173057,True
Beef Ribeye Cooked,beef ribeye cooked|cooked beef ribeye,100,g,246.0,24.66,1.53,15.7,0.0,USDA SR Legacy FDC 173054,True
Beef Chuck Raw,beef chuck raw|raw beef chuck,100,g,129.0,19.63,0.0,5.02,0.0,USDA SR Legacy FDC 174018,True
Beef Chuck Cooked,beef chuck cooked|cooked beef chuck,100,g,172.0,26.82,0.0,6.34,0.0,USDA SR Legacy FDC 174019,True
Beef Round Raw,beef round raw|raw beef round,100,g,135.0,22.91,0.0,4.09,0.0,USDA SR Legacy FDC 171816,True
Beef Round Cooked,beef round cooked|cooked beef round,100,g,209.0,35.62,0.0,6.31,0.0,USDA SR Legacy FDC 170638,True
Beef Brisket Raw,beef brisket raw|raw beef brisket,100,g,127.0,21.57,0.0,3.84,0.0,USDA SR Legacy FDC 174048,True
Beef Brisket Cooked,beef brisket cooked|cooked beef brisket,100,g,205.0,33.26,0.0,6.99,0.0,USDA SR Legacy FDC 170210,True
Pork Loin Raw,pork loin raw|raw pork loin,100,g,143.0,21.43,0.0,5.66,0.0,USDA SR Legacy FDC 168230,True
Pork Loin Cooked,pork loin cooked|cooked pork loin,100,g,204.0,28.57,0.0,9.12,0.0,USDA SR Legacy FDC 168231,True
Pork Chop Raw,pork chop raw|raw pork chop,100,g,127.0,21.99,0.0,3.71,0.0,USDA SR Legacy FDC 167829,True
Pork Chop Cooked,pork chop cooked|cooked pork chop,100,g,200.0,30.2,0.0,7.86,0.0,USDA SR Legacy FDC 168239,True
Pork Tenderloin Raw,pork tenderloin raw|raw pork tenderloin,100,g,109.0,20.95,0.0,2.17,0.0,USDA SR Legacy FDC 168249,True
Pork Tenderloin Cooked,pork tenderloin cooked|cooked pork tenderloin,100,g,143.0,26.17,0.0,3.51,0.0,USDA SR Legacy FDC 168250,True
Pork Shoulder Raw,pork shoulder raw|raw pork shoulder,100,g,148.0,19.55,0.0,7.14,0.0,USDA SR Legacy FDC 167845,True
Pork Shoulder Cooked,pork shoulder cooked|cooked pork shoulder,100,g,230.0,25.33,0.0,13.54,0.0,USDA SR Legacy FDC 167846,True
Salmon Raw,salmon raw|raw salmon,100,g,142.0,19.84,0.0,6.34,0.0,USDA SR Legacy FDC 173686,True
Salmon Cooked,salmon cooked|cooked salmon,100,g,182.0,25.44,0.0,8.13,0.0,USDA SR Legacy FDC 171998,True
Tilapia Raw,tilapia raw|raw tilapia,100,g,96.0,20.08,0.0,1.7,0.0,USDA SR Legacy FDC 175176,True
Tilapia Cooked,tilapia cooked|cooked tilapia,100,g,128.0,26.15,0.0,2.65,0.0,USDA SR Legacy FDC 175177,True
Tuna Raw,tuna raw|raw tuna,100,g,109.0,24.4,0.0,0.49,0.0,USDA SR Legacy FDC 175159,True
Tuna Cooked,tuna cooked|cooked tuna,100,g,130.0,29.15,0.0,0.59,0.0,USDA SR Legacy FDC 172006,True
Shrimp Raw,shrimp raw|raw shrimp,100,g,71.0,13.61,0.91,1.01,0.0,USDA SR Legacy FDC 174210,True
Shrimp Cooked,shrimp cooked|cooked shrimp,100,g,119.0,22.78,1.52,1.7,0.0,USDA SR Legacy FDC 171971,True
Cod Raw,cod raw|raw cod,100,g,82.0,17.81,0.0,0.67,0.0,USDA SR Legacy FDC 171955,True
Cod Cooked,cod cooked|cooked cod,100,g,105.0,22.83,0.0,0.86,0.0,USDA SR Legacy FDC 171956,True
Egg Whole Raw,whole egg raw|raw whole egg|raw egg,100,g,143.0,12.56,0.72,9.51,0.0,USDA SR Legacy FDC 171287,True
Egg Whole Cooked,egg|eggs|whole egg cooked|cooked whole egg|cooked egg,100,g,143.0,12.51,0.71,9.47,0.0,USDA SR Legacy FDC 172186,True
